EntryTime,ExitTime,EntryPrice,ExitPrice,Profit,Result,EMA20,EMA50,EMA200,RSI,ADX,ATR,MACD,MACD_SIGNAL,AI_SCORE
2026-06-03 13:30:00+05:30,2026-06-03 14:50:00+05:30,23344.6,23450.3,105.7,WIN,23286.55,23286.23,23417.7,79.38,35.61,34.05,23.98,13.81,71.0
2026-06-03 14:55:00+05:30,2026-06-03 15:05:00+05:30,23442.95,23389.4,-53.55,LOSS,23392.41,23345.99,23415.33,61.74,53.94,29.16,39.84,37.97,85.0
2026-06-04 10:00:00+05:30,2026-06-04 10:30:00+05:30,23420.8,23388.0,-32.8,LOSS,23381.42,23361.09,23409.85,58.13,41.94,39.9,5.93,4.53,77.0
2026-06-09 09:15:00+05:30,2026-06-09 09:45:00+05:30,23234.85,23184.2,-50.65,LOSS,23158.78,23184.34,23283.95,63.7,35.24,34.2,-11.79,-15.41,70.0
2026-06-09 11:45:00+05:30,2026-06-09 12:55:00+05:30,23175.65,23181.9,6.25,WIN,23155.28,23168.81,23253.79,55.82,49.61,24.19,-5.46,-8.1,71.0
2026-06-10 09:20:00+05:30,2026-06-10 10:10:00+05:30,23326.75,23317.0,-9.75,LOSS,23250.41,23221.84,23241.62,70.98,29.88,31.77,23.8,16.72,71.0
2026-06-10 11:40:00+05:30,2026-06-10 12:20:00+05:30,23406.0,23377.65,-28.35,LOSS,23365.99,23318.27,23270.76,76.45,27.15,18.56,25.08,23.93,72.0
2026-06-12 09:25:00+05:30,2026-06-12 10:00:00+05:30,23401.2,23342.55,-58.65,LOSS,23253.6,23241.66,23256.9,69.09,35.02,47.69,28.92,-0.66,73.0
2026-06-12 10:05:00+05:30,2026-06-12 12:05:00+05:30,23347.55,23363.45,15.9,WIN,23314.33,23275.88,23265.45,71.72,43.69,41.95,37.3,33.95,83.0
2026-06-12 13:30:00+05:30,2026-06-12 13:45:00+05:30,23426.55,23492.0,65.45,WIN,23354.29,23339.28,23295.52,66.43,31.92,20.29,6.08,-0.52,70.0
2026-06-12 13:50:00+05:30,2026-06-12 14:35:00+05:30,23489.05,23568.1,79.05,WIN,23395.95,23360.07,23302.74,89.69,46.19,23.41,32.11,14.7,83.0
2026-06-12 14:40:00+05:30,2026-06-15 09:15:00+05:30,23569.75,23945.6,375.85,WIN,23488.66,23419.1,23325.06,91.6,83.21,23.82,52.74,45.8,90.0
2026-06-15 09:20:00+05:30,2026-06-15 11:10:00+05:30,23957.6,23967.65,10.05,WIN,23636.9,23515.92,23362.22,95.07,85.04,48.7,97.16,67.57,100.0
2026-06-16 14:00:00+05:30,2026-06-16 14:40:00+05:30,23973.95,23964.85,-9.1,LOSS,23953.86,23939.58,23779.37,74.0,35.44,15.28,10.14,7.72,73.0
2026-06-17 09:40:00+05:30,2026-06-17 11:35:00+05:30,24061.55,24074.2,12.65,WIN,24002.0,23976.24,23824.2,77.07,34.05,24.06,18.66,12.3,74.0
2026-06-17 13:40:00+05:30,2026-06-17 14:25:00+05:30,24056.35,24024.3,-32.05,LOSS,24042.91,24040.31,23912.99,57.01,50.65,15.18,-3.49,-6.34,73.0
2026-06-18 09:30:00+05:30,2026-06-18 10:35:00+05:30,24085.1,24078.75,-6.35,LOSS,24071.3,24057.03,23946.16,72.04,34.79,20.45,11.64,9.53,73.0
2026-06-18 12:15:00+05:30,2026-06-18 13:55:00+05:30,24095.6,24108.35,12.75,WIN,24078.69,24076.14,23985.78,58.27,39.61,16.9,0.25,-3.65,73.0
2026-06-18 15:10:00+05:30,2026-06-19 09:15:00+05:30,24177.45,23980.9,-196.55,LOSS,24120.35,24107.17,24024.36,69.85,33.27,23.24,11.77,3.34,71.0
2026-06-19 15:05:00+05:30,2026-06-22 09:15:00+05:30,24022.0,24122.15,100.15,WIN,23967.14,23969.93,23993.95,59.46,36.86,29.97,7.04,3.56,71.0
2026-06-22 09:25:00+05:30,2026-06-22 11:50:00+05:30,24131.2,24134.1,2.9,WIN,24025.77,23996.38,23999.47,75.23,29.04,33.76,39.32,22.4,70.0
2026-06-22 13:50:00+05:30,2026-06-22 15:00:00+05:30,24124.9,24117.2,-7.7,LOSS,24122.16,24113.0,24054.57,56.64,39.55,11.04,-2.09,-2.47,73.0
2026-06-25 09:20:00+05:30,2026-06-25 12:00:00+05:30,24156.35,24247.55,91.2,WIN,24053.29,24027.16,24008.72,69.22,30.62,30.34,14.16,6.61,71.0
2026-06-25 12:05:00+05:30,2026-06-25 12:20:00+05:30,24249.35,24225.9,-23.45,LOSS,24199.64,24149.32,24058.97,76.79,32.81,14.45,25.08,22.82,78.0
2026-07-01 10:10:00+05:30,2026-07-01 10:35:00+05:30,23987.1,23977.05,-10.05,LOSS,23942.01,23931.59,23971.87,84.92,35.75,23.45,16.79,8.07,73.0
2026-07-01 10:40:00+05:30,2026-07-01 11:30:00+05:30,23953.1,23993.45,40.35,WIN,23961.35,23943.35,23972.79,59.59,58.78,22.64,17.07,16.97,78.0
2026-07-02 09:30:00+05:30,2026-07-02 10:05:00+05:30,24123.8,24099.75,-24.05,LOSS,24046.34,24024.72,23996.57,72.83,31.64,27.45,19.72,7.08,71.0
2026-07-02 12:35:00+05:30,2026-07-02 13:45:00+05:30,24132.45,24131.05,-1.4,LOSS,24109.32,24089.24,24031.16,75.17,31.35,14.45,9.72,6.82,71.0
2026-07-02 14:55:00+05:30,2026-07-02 15:15:00+05:30,24189.55,24156.45,-33.1,LOSS,24153.91,24129.87,24059.21,82.57,30.99,16.05,15.18,10.82,71.0
2026-07-03 09:15:00+05:30,2026-07-03 11:05:00+05:30,24303.05,24331.6,28.55,WIN,24174.29,24144.76,24068.01,80.72,53.1,32.1,20.77,13.79,81.0
2026-07-06 09:35:00+05:30,2026-07-06 12:10:00+05:30,24372.6,24443.0,70.4,WIN,24310.96,24302.77,24204.88,77.05,34.49,21.38,14.69,1.17,71.0
2026-07-07 10:20:00+05:30,2026-07-07 12:15:00+05:30,24493.45,24486.7,-6.75,LOSS,24461.11,24438.51,24333.39,72.54,31.16,24.26,17.55,13.3,71.0
2026-07-07 14:20:00+05:30,2026-07-07 15:00:00+05:30,24448.35,24426.9,-21.45,LOSS,24454.01,24461.26,24387.0,55.68,39.0,15.61,-6.19,-9.53,70.0
